num1,city,gu,roadname,where,address,latitude,longitude
대전-중구-1,대전광역시,중구,보문로 258,중구청 맞은편 승강장,대전광역시 중구 보문로 258 중구청 맞은편 승강장,36.3254294,127.4222039
대전-중구-2,대전광역시,중구,중앙로 118,대전도시공사 본사 앞 승강장,대전광역시 중구 중앙로 118 대전도시공사 본사 앞 승강장,36.3275191,127.4228558
대전-중구-3,대전광역시,중구,보문로 193,앞 승강장,대전광역시 중구 보문로 193 앞 승강장,36.31999213,127.4245191
대전-중구-4,대전광역시,중구,대흥로 64,대전성모병원 정문 앞,대전광역시 중구 대흥로 64 대전성모병원 정문 앞,36.32367026,127.4204233
대전-중구-5,대전광역시,중구,중앙로 156,푸마매장 앞 승강장,대전광역시 중구 중앙로 156 푸마매장 앞 승강장,36.32896333056044,127.42678779974466
대전-중구-6,대전광역시,중구,중앙로 160,유니클로 앞 승강장,대전광역시 중구 중앙로 160 유니클로 앞 승강장,36.32921313056038,127.42747489974354
대전-중구-7,대전광역시,중구,중앙로 170,앞 승강장,대전광역시 중구 중앙로 170 앞 승강장,36.32943407201418,127.42808209532345
대전-중구-8,대전광역시,중구,보문로 170,앞 승강장,대전광역시 중구 보문로 170 앞 승강장,36.31817131914979,127.42551272985504
대전-중구-9,대전광역시,중구,보문로 192-2,앞 승강장,대전광역시 중구 보문로 192-2 앞 승강장,36.320031732458816,127.4243914231509
대전-중구-10,대전광역시,중구,중앙로 134-1,중부우리안과 앞 승강장,대전광역시 중구 중앙로 134-1 중부우리안과 앞 승강장,36.32816310503001,127.42463152943989
대전-중구-11,대전광역시,중구,대종로 411,하나로마트 앞 승강장,대전광역시 중구 대종로 411 하나로마트 앞 승강장,36.322027901554186,127.42967194190209
대전-중구-12,대전광역시,중구,대종로 464,송희플라워플라자 앞 승강장,대전광역시 중구 대종로 464 송희플라워플라자 앞 승강장,36.32608045103026,127.42742226721033
대전-중구-13,대전광역시,중구,충무로 69,테미고개 승강장,대전광역시 중구 충무로 69 테미고개 승강장,36.317362017357645,127.42501836318205
대전-중구-14,대전광역시,중구,중앙로 76,하나은행 앞,대전광역시 중구 중앙로 76 하나은행 앞,36.32518715307404,127.42011613609793
대전-중구-15,대전광역시,중구,중앙로 100,중구청 후문 승강장,대전광역시 중구 중앙로 100 중구청 후문 승강장,36.325800694399014,127.42093019128255
대전-중구-16,대전광역시,중구,동서대로 1399-2,순풍한의원 앞 승강장,대전광역시 중구 동서대로 1399-2 순풍한의원 앞 승강장,36.333674902254984,127.41221811265008
대전-중구-17,대전광역시,중구,동서대로 1365,편의점 앞 승강장,대전광역시 중구 동서대로 1365 편의점 앞 승강장,36.33130701360482,127.41000484339372
대전-중구-18,대전광역시,중구,목중로 29,대전선병원 앞 택시승강장,대전광역시 중구 목중로 29 대전선병원 앞 택시승강장,36.336332611464755,127.41086878280082
대전-중구-19,대전광역시,중구,대종로 660,앞 승강장,대전광역시 중구 대종로 660 앞 승강장,36.33910105764378,127.41295067217196
대전-중구-20,대전광역시,중구,중앙로 167,나이키 앞 승강장,대전광역시 중구 중앙로 167 나이키 앞 승강장,36.32946362692541,127.42788178459676
