station,latitude,longitude
판암,36.316980617,127.458482032
신흥,36.319721315,127.448687304
대동,36.329583966,127.442841044
대전역,36.331358870,127.433116808
중앙로,36.328609989,127.425673058
중구청,36.324765630,127.419538107
서대전네거리,36.322437749,127.412587676
오룡,36.328636759,127.405002480
용문,36.338192010,127.393378679
탄방,36.345439100,127.384570249
시청,36.351487889,127.386772396
정부청사,36.357444470,127.381220043
갈마,36.357561648,127.372641753
월평,36.358262743,127.364467248
갑천,36.354597976,127.354479001
유성온천,36.353698468,127.341529268
구암,36.356684687,127.330735283
현충원,36.359106605,127.321653970
월드컵경기장,36.366839817,127.317863843
노은,36.374112240,127.317882285
지족,36.384137958,127.319505705
반석,36.392063143,127.314644899
